trip_id,route_id,start_time,end_time,distance_km,avg_slope,congestion_index,avg_speed,passenger_load,temperature,peak_hour,energy_kwh,source
1001-1-287-0535,1001,05:35:00,06:20:00,7.98,0.0233,0.379,10.64,0.394,22.2,0,14.27,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-287-0705,1001,07:05:00,07:50:00,7.98,0.0256,0.752,10.64,0.66,23.6,1,17.96,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-287-0805,1001,08:05:00,08:50:00,7.98,0.0466,0.505,10.64,0.85,24.3,1,21.42,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-287-0905,1001,09:05:00,09:50:00,7.98,-0.003,0.753,10.64,0.755,25.1,1,12.15,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-287-1105,1001,11:05:00,11:50:00,7.98,-0.0231,0.162,10.64,0.39,26.5,0,10.72,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-287-1705,1001,17:05:00,17:50:00,7.98,0.0541,0.797,10.64,0.839,26.5,1,24.71,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-287-1735,1001,17:35:00,18:20:00,7.98,0.0404,0.722,10.64,0.697,26.5,1,21.59,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-287-2135,1001,21:35:00,22:20:00,7.98,-0.0111,0.288,10.64,0.451,23.6,0,9.79,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-0630,1001,06:30:00,07:15:00,8.24,-0.0223,0.162,10.99,0.44,22.8,0,10.13,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-1040,1001,10:40:00,11:25:00,8.24,0.0162,0.306,10.99,0.595,25.8,0,14.7,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-1140,1001,11:40:00,12:25:00,8.24,0.023,0.422,10.99,0.505,26.5,0,17.07,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-1310,1001,13:10:00,13:55:00,8.24,0.0082,0.425,10.99,0.405,27.2,0,14.39,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-1358,1001,13:58:00,14:43:00,8.24,0.0224,0.29,10.99,0.428,27.2,0,16.96,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-1408,1001,14:08:00,14:53:00,8.24,-0.0,0.39,10.99,0.541,27.3,0,12.55,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-1829,1001,18:29:00,19:14:00,8.24,0.0466,0.532,10.99,0.663,25.8,1,22.33,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-1859,1001,18:59:00,19:44:00,8.24,0.0504,0.628,10.99,0.86,25.8,1,23.89,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-1935,1001,19:35:00,20:20:00,8.24,0.0116,0.726,10.99,0.766,25.1,1,15.09,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-2225,1001,22:25:00,23:10:00,8.24,0.0505,0.327,10.99,0.348,22.8,0,22.05,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-287-2305,1001,23:05:00,23:50:00,8.24,-0.0057,0.437,10.99,0.316,22.2,0,11.06,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-0535,1001,05:35:00,06:20:00,7.98,0.0337,0.368,10.64,0.569,22.2,0,18.51,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-0635,1001,06:35:00,07:20:00,7.98,0.0379,0.163,10.64,0.594,22.8,0,17.96,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-0805,1001,08:05:00,08:50:00,7.98,-0.0045,0.645,10.64,0.813,24.3,1,12.53,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-0905,1001,09:05:00,09:50:00,7.98,-0.0011,0.59,10.64,0.728,25.1,1,12.43,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-1005,1001,10:05:00,10:50:00,7.98,-0.0005,0.162,10.64,0.424,25.8,0,10.36,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-1205,1001,12:05:00,12:50:00,7.98,0.0095,0.431,10.64,0.526,26.9,0,14.98,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-1405,1001,14:05:00,14:50:00,7.98,0.0439,0.317,10.64,0.345,27.3,0,20.44,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-1905,1001,19:05:00,19:50:00,7.98,-0.0247,0.778,10.64,0.691,25.1,1,12.55,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-2105,1001,21:05:00,21:50:00,7.98,-0.022,0.387,10.64,0.395,23.6,0,10.62,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-1-288-2310,1001,23:10:00,23:55:00,7.98,0.0406,0.326,10.64,0.351,22.2,0,18.83,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-288-0630,1001,06:30:00,07:15:00,8.24,0.0397,0.44,10.99,0.326,22.8,0,19.44,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-288-0745,1001,07:45:00,08:30:00,8.24,0.0217,0.735,10.99,0.935,23.6,1,18.08,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
1001-2-288-1245,1001,12:45:00,13:30:00,8.24,0.0009,0.222,10.99,0.525,26.9,0,11.47,GTFS distance/timing + HKO temperature + literature-style calibrated simulation
