station_id,station_name,location,stop_id,lat,lon,fast_chargers,slow_chargers,fast_power,slow_power,source
FULLCS001,[KMB] 天恒邨总站 Full e-bus coverage scenario Charging Hub,[KMB] 天恒邨总站,9888,22.46910,113.99924,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS002,[CTB] 会展站 Full e-bus coverage scenario Charging Hub,[CTB] 会展站,10000110,22.28161,114.17548,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS003,[XB] 皇岗 Full e-bus coverage scenario Charging Hub,[XB] 皇岗,12743,22.52240,114.06865,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS004,[CTB] 屯门码头 Full e-bus coverage scenario Charging Hub,[CTB] 屯门码头,1242,22.37254,113.96673,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS005,港铁大学站巴士总站 Full e-bus coverage scenario Charging Hub,港铁大学站巴士总站,20002275,22.41272,114.21079,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS006,[CTB] 小西湾 (蓝湾半岛) Full e-bus coverage scenario Charging Hub,[CTB] 小西湾 (蓝湾半岛),1546,22.26610,114.25096,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS007,大埔墟站专线小巴总站 Full e-bus coverage scenario Charging Hub,大埔墟站专线小巴总站,20001193,22.44381,114.17042,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS008,坑口站公共运输交汇处 Full e-bus coverage scenario Charging Hub,坑口站公共运输交汇处,20002597,22.31584,114.26424,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS009,[KMB] 大埔墟站巴士总站 Full e-bus coverage scenario Charging Hub,[KMB] 大埔墟站巴士总站,6261,22.44378,114.16934,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS010,上水站小巴总站 Full e-bus coverage scenario Charging Hub,上水站小巴总站,20001384,22.50204,114.12778,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS011,[KMB] 元朗(西)总站 Full e-bus coverage scenario Charging Hub,[KMB] 元朗(西)总站,9965,22.44519,114.02490,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS012,[CTB] 天水围站 - 屏欣苑 Full e-bus coverage scenario Charging Hub,[CTB] 天水围站 - 屏欣苑,9908,22.44640,114.00360,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS013,玛丽医院 Full e-bus coverage scenario Charging Hub,玛丽医院,20019072,22.27067,114.13065,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS014,黄大仙公共小型巴士(专线)服务总站 Full e-bus coverage scenario Charging Hub,黄大仙公共小型巴士(专线)服务总站,20022571,22.34328,114.19530,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS015,天后站公共运输交汇处 Full e-bus coverage scenario Charging Hub,天后站公共运输交汇处,20000243,22.28267,114.19145,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS016,荃湾中心 Full e-bus coverage scenario Charging Hub,荃湾中心,20015998,22.37900,114.10787,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS017,蓝澄湾第三座 Full e-bus coverage scenario Charging Hub,蓝澄湾第三座,20016768,22.34297,114.10991,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS018,荃湾街市街 Full e-bus coverage scenario Charging Hub,荃湾街市街,20002178,22.37166,114.11698,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS019,耀东邨巴士总站 Full e-bus coverage scenario Charging Hub,耀东邨巴士总站,20007726,22.27750,114.22332,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS020,荃湾站 Full e-bus coverage scenario Charging Hub,荃湾站,20016071,22.37259,114.11894,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS021,[CTB] 高铁西九龙站 Full e-bus coverage scenario Charging Hub,[CTB] 高铁西九龙站,13341,22.30684,114.16446,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS022,海贵路公共运输交汇处 Full e-bus coverage scenario Charging Hub,海贵路公共运输交汇处,20012208,22.36833,114.11067,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS023,[LRTFeeder] 兆麟 Full e-bus coverage scenario Charging Hub,[LRTFeeder] 兆麟,12956,22.38546,113.97688,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS024,"康盛花园巴士总站, 景岭书院外 Full e-bus coverage scenario Charging Hub","康盛花园巴士总站, 景岭书院外",20014659,22.31865,114.25372,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS025,[CTB] 中环 (港澳码头) Full e-bus coverage scenario Charging Hub,[CTB] 中环 (港澳码头),125,22.28855,114.15003,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS026,[KMB] 葵芳站巴士总站 Full e-bus coverage scenario Charging Hub,[KMB] 葵芳站巴士总站,9501,22.35649,114.12800,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS027,"康强街, 近康强大楼 Full e-bus coverage scenario Charging Hub","康强街, 近康强大楼",20001963,22.33475,114.19732,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS028,[CTB] 机场 (地面运输中心) Full e-bus coverage scenario Charging Hub,[CTB] 机场 (地面运输中心),929,22.31364,113.93708,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS029,石篱(梨贝街) Full e-bus coverage scenario Charging Hub,石篱(梨贝街),20016724,22.36263,114.13821,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS030,[CTB] 筲箕湾 Full e-bus coverage scenario Charging Hub,[CTB] 筲箕湾,550,22.27842,114.22833,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS031,丽城花园 Full e-bus coverage scenario Charging Hub,丽城花园,20016077,22.37073,114.10099,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS032,"葵仁路, 近葵芳站 Full e-bus coverage scenario Charging Hub","葵仁路, 近葵芳站",20016826,22.35746,114.12804,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS033,[XB] 鸦兰街 Full e-bus coverage scenario Charging Hub,[XB] 鸦兰街,12767,22.32302,114.16835,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS034,数码港公共运输交汇处 Full e-bus coverage scenario Charging Hub,数码港公共运输交汇处,20003337,22.26191,114.13014,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS035,西湾河（嘉亨湾）公共交通总站 Full e-bus coverage scenario Charging Hub,西湾河（嘉亨湾）公共交通总站,20003353,22.28488,114.22441,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS036,[KMB] 观塘码头 Full e-bus coverage scenario Charging Hub,[KMB] 观塘码头,8207,22.30779,114.22178,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS037,"骆克道, 近景隆街 Full e-bus coverage scenario Charging Hub","骆克道, 近景隆街",20006944,22.28070,114.18349,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS038,香港科技大学(北站) Full e-bus coverage scenario Charging Hub,香港科技大学(北站),20012474,22.33854,114.26206,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS039,[CTB] 屯门站 Full e-bus coverage scenario Charging Hub,[CTB] 屯门站,12400,22.39491,113.97390,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS040,青衣站 Full e-bus coverage scenario Charging Hub,青衣站,20008023,22.35947,114.10624,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS041,[KMB] 旺角东站 MOKO Full e-bus coverage scenario Charging Hub,[KMB] 旺角东站 MOKO,9115,22.32240,114.17222,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
FULLCS042,青龙头(龙如路) Full e-bus coverage scenario Charging Hub,青龙头(龙如路),20016006,22.36283,114.04581,12,8,120,40,Full e-bus coverage scenario; hubs selected from high-frequency GTFS termini
