station_id,station_name,location,stop_id,lat,lon,fast_chargers,slow_chargers,fast_power,slow_power,source
HKCS001,HK Scale [KMB] 天恒邨总站 Charging Hub 001,[KMB] 天恒邨总站,9888,22.4691,113.99924,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS002,HK Scale [CTB] 会展站 Charging Hub 002,[CTB] 会展站,10000110,22.28161,114.17548,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS003,HK Scale [XB] 皇岗 Charging Hub 003,[XB] 皇岗,12743,22.5224,114.06865,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS004,HK Scale [CTB] 屯门码头 Charging Hub 004,[CTB] 屯门码头,1242,22.37254,113.96673,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS005,HK Scale 港铁大学站巴士总站 Charging Hub 005,港铁大学站巴士总站,20002275,22.41272,114.21079,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS006,HK Scale [CTB] 小西湾 (蓝湾半岛) Charging Hub 006,[CTB] 小西湾 (蓝湾半岛),1546,22.2661,114.25096,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS007,HK Scale [KMB] 天恒邨总站 Charging Hub 007,[KMB] 天恒邨总站,9888,22.4691,113.99924,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS008,HK Scale [CTB] 会展站 Charging Hub 008,[CTB] 会展站,10000110,22.28161,114.17548,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS009,HK Scale [XB] 皇岗 Charging Hub 009,[XB] 皇岗,12743,22.5224,114.06865,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS010,HK Scale [CTB] 屯门码头 Charging Hub 010,[CTB] 屯门码头,1242,22.37254,113.96673,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS011,HK Scale 港铁大学站巴士总站 Charging Hub 011,港铁大学站巴士总站,20002275,22.41272,114.21079,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS012,HK Scale [CTB] 小西湾 (蓝湾半岛) Charging Hub 012,[CTB] 小西湾 (蓝湾半岛),1546,22.2661,114.25096,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS013,HK Scale [KMB] 天恒邨总站 Charging Hub 013,[KMB] 天恒邨总站,9888,22.4691,113.99924,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS014,HK Scale [CTB] 会展站 Charging Hub 014,[CTB] 会展站,10000110,22.28161,114.17548,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS015,HK Scale [XB] 皇岗 Charging Hub 015,[XB] 皇岗,12743,22.5224,114.06865,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS016,HK Scale [CTB] 屯门码头 Charging Hub 016,[CTB] 屯门码头,1242,22.37254,113.96673,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS017,HK Scale 港铁大学站巴士总站 Charging Hub 017,港铁大学站巴士总站,20002275,22.41272,114.21079,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS018,HK Scale [CTB] 小西湾 (蓝湾半岛) Charging Hub 018,[CTB] 小西湾 (蓝湾半岛),1546,22.2661,114.25096,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS019,HK Scale [KMB] 天恒邨总站 Charging Hub 019,[KMB] 天恒邨总站,9888,22.4691,113.99924,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS020,HK Scale [CTB] 会展站 Charging Hub 020,[CTB] 会展站,10000110,22.28161,114.17548,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS021,HK Scale [XB] 皇岗 Charging Hub 021,[XB] 皇岗,12743,22.5224,114.06865,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
HKCS022,HK Scale [CTB] 屯门码头 Charging Hub 022,[CTB] 屯门码头,1242,22.37254,113.96673,12,8,120,40,"Synthetic Hong Kong scale charging infrastructure for full electric fleet scenario; 80 hubs, 960 fast chargers, 640 slow chargers"
