station_id,station_name,location,stop_id,lat,lon,fast_chargers,slow_chargers,fast_power,slow_power,source
PLANCS001,[KMB] 天恒邨总站 Planned near-term e-bus expansion scenario Charging Hub,[KMB] 天恒邨总站,9888,22.46910,113.99924,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS002,坑口站公共运输交汇处 Planned near-term e-bus expansion scenario Charging Hub,坑口站公共运输交汇处,20002597,22.31584,114.26424,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS003,[XB] 皇岗 Planned near-term e-bus expansion scenario Charging Hub,[XB] 皇岗,12743,22.52240,114.06865,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS004,耀东邨巴士总站 Planned near-term e-bus expansion scenario Charging Hub,耀东邨巴士总站,20007726,22.27750,114.22332,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS005,[CTB] 屯门码头 Planned near-term e-bus expansion scenario Charging Hub,[CTB] 屯门码头,1242,22.37254,113.96673,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS006,[LRTFeeder] 兆麟 Planned near-term e-bus expansion scenario Charging Hub,[LRTFeeder] 兆麟,12956,22.38546,113.97688,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS007,[CTB] 天水围站 - 屏欣苑 Planned near-term e-bus expansion scenario Charging Hub,[CTB] 天水围站 - 屏欣苑,9908,22.44640,114.00360,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS008,[KMB] 元朗(西)总站 Planned near-term e-bus expansion scenario Charging Hub,[KMB] 元朗(西)总站,9965,22.44519,114.02490,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS009,"葵仁路, 近葵芳站 Planned near-term e-bus expansion scenario Charging Hub","葵仁路, 近葵芳站",20016826,22.35746,114.12804,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS010,蓝澄湾第三座 Planned near-term e-bus expansion scenario Charging Hub,蓝澄湾第三座,20016768,22.34297,114.10991,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS011,数码港公共运输交汇处 Planned near-term e-bus expansion scenario Charging Hub,数码港公共运输交汇处,20003337,22.26191,114.13014,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS012,"骆克道, 近景隆街 Planned near-term e-bus expansion scenario Charging Hub","骆克道, 近景隆街",20006944,22.28070,114.18349,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS013,"康强街, 近康强大楼 Planned near-term e-bus expansion scenario Charging Hub","康强街, 近康强大楼",20001963,22.33475,114.19732,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS014,香港科技大学(北站) Planned near-term e-bus expansion scenario Charging Hub,香港科技大学(北站),20012474,22.33854,114.26206,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS015,[XB] 鸦兰街 Planned near-term e-bus expansion scenario Charging Hub,[XB] 鸦兰街,12767,22.32302,114.16835,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS016,荃湾站 Planned near-term e-bus expansion scenario Charging Hub,荃湾站,20016071,22.37259,114.11894,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS017,荃湾中心 Planned near-term e-bus expansion scenario Charging Hub,荃湾中心,20015998,22.37900,114.10787,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS018,山尾街巴士总站 Planned near-term e-bus expansion scenario Charging Hub,山尾街巴士总站,20002176,22.39643,114.19427,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS019,荃湾街市街 Planned near-term e-bus expansion scenario Charging Hub,荃湾街市街,20002178,22.37166,114.11698,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
PLANCS020,[KMB] 朗屏邨总站 Planned near-term e-bus expansion scenario Charging Hub,[KMB] 朗屏邨总站,9982,22.45031,114.02278,8,6,120,40,Planned near-term e-bus expansion scenario; hubs selected from high-frequency GTFS termini
