trip_id,route_id,start_time,end_time,origin,destination,distance_km,candidate_path,source
1001-1-287-0535,1001,05:35:00,06:20:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-287-0705,1001,07:05:00,07:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-287-0805,1001,08:05:00,08:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-287-0905,1001,09:05:00,09:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-287-1105,1001,11:05:00,11:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-287-1705,1001,17:05:00,17:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-287-1735,1001,17:35:00,18:20:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-287-2135,1001,21:35:00,22:20:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-0630,1001,06:30:00,07:15:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-1040,1001,10:40:00,11:25:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-1140,1001,11:40:00,12:25:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-1310,1001,13:10:00,13:55:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-1358,1001,13:58:00,14:43:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-1408,1001,14:08:00,14:53:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-1829,1001,18:29:00,19:14:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-1859,1001,18:59:00,19:44:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-1935,1001,19:35:00,20:20:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-2225,1001,22:25:00,23:10:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-287-2305,1001,23:05:00,23:50:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-0535,1001,05:35:00,06:20:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-0635,1001,06:35:00,07:20:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-0805,1001,08:05:00,08:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-0905,1001,09:05:00,09:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-1005,1001,10:05:00,10:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-1205,1001,12:05:00,12:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-1405,1001,14:05:00,14:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-1905,1001,19:05:00,19:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-2105,1001,21:05:00,21:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-288-2310,1001,23:10:00,23:55:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-2-288-0630,1001,06:30:00,07:15:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-288-0745,1001,07:45:00,08:30:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-288-1245,1001,12:45:00,13:30:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-288-1315,1001,13:15:00,14:00:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-288-1915,1001,19:15:00,20:00:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-288-2115,1001,21:15:00,22:00:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-288-2215,1001,22:15:00,23:00:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-2-288-2245,1001,22:45:00,23:30:00,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,8.24,1001,DATA.GOV.HK pt-headway GTFS
1001-1-448-0535,1001,05:35:00,06:20:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-448-0735,1001,07:35:00,08:20:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-448-0805,1001,08:05:00,08:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-448-0905,1001,09:05:00,09:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-448-1405,1001,14:05:00,14:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-448-1605,1001,16:05:00,16:50:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
1001-1-448-1850,1001,18:50:00,19:35:00,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),7.98,1001,DATA.GOV.HK pt-headway GTFS
