bus_id,battery_capacity,initial_soc,max_soc,min_soc,assigned_route,source
CURBUS00001,300,0.777,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00002,300,0.798,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00003,300,0.765,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00004,300,0.846,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00005,300,0.771,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00006,300,0.858,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00007,300,0.779,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00008,300,0.771,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00009,300,0.857,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00010,300,0.754,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00011,300,0.767,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00012,300,0.859,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00013,300,0.747,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00014,300,0.826,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00015,300,0.828,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00016,300,0.81,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00017,300,0.798,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00018,300,0.823,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00019,300,0.783,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00020,300,0.828,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00021,300,0.855,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00022,300,0.785,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00023,300,0.874,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00024,300,0.88,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00025,300,0.85,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00026,300,0.799,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00027,300,0.876,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00028,300,0.733,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00029,300,0.88,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00030,300,0.806,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00031,300,0.781,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00032,300,0.872,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00033,300,0.739,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00034,300,0.847,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00035,300,0.811,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00036,300,0.81,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00037,300,0.775,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00038,300,0.879,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00039,300,0.825,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00040,300,0.727,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00041,300,0.844,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00042,300,0.804,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00043,300,0.79,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00044,300,0.813,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00045,300,0.774,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00046,300,0.84,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00047,300,0.784,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00048,300,0.78,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00049,300,0.726,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00050,300,0.835,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00051,300,0.826,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
CURBUS00052,300,0.759,0.9,0.2,1862,Current pilot-stage e-bus penetration scenario; route assignment weighted by selected GTFS trip frequency
