bus_id,battery_capacity,initial_soc,max_soc,min_soc,assigned_route,source
FULLBUS00001,300,0.85,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00002,300,0.765,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00003,300,0.806,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00004,300,0.793,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00005,300,0.822,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00006,300,0.835,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00007,300,0.812,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00008,300,0.84,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00009,300,0.793,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00010,300,0.863,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00011,300,0.758,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00012,300,0.734,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00013,300,0.75,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00014,300,0.811,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00015,300,0.812,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00016,300,0.853,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00017,300,0.74,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00018,300,0.757,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00019,300,0.871,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00020,300,0.767,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00021,300,0.742,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00022,300,0.721,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00023,300,0.735,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00024,300,0.746,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00025,300,0.744,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00026,300,0.743,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00027,300,0.846,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00028,300,0.737,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00029,300,0.754,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00030,300,0.723,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00031,300,0.751,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00032,300,0.877,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00033,300,0.854,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00034,300,0.8,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00035,300,0.85,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00036,300,0.82,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00037,300,0.845,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00038,300,0.735,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00039,300,0.813,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00040,300,0.764,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00041,300,0.842,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00042,300,0.798,0.9,0.2,1862,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00043,300,0.742,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00044,300,0.739,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00045,300,0.831,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00046,300,0.804,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00047,300,0.871,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00048,300,0.817,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00049,300,0.733,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00050,300,0.791,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00051,300,0.743,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00052,300,0.735,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00053,300,0.85,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00054,300,0.726,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00055,300,0.775,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00056,300,0.78,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00057,300,0.81,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00058,300,0.834,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00059,300,0.813,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00060,300,0.754,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00061,300,0.879,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00062,300,0.723,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00063,300,0.796,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00064,300,0.789,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
FULLBUS00065,300,0.786,0.9,0.2,1884,Full e-bus coverage scenario; route assignment weighted by selected GTFS trip frequency
