bus_id,battery_capacity,initial_soc,max_soc,min_soc,assigned_route,source
PLANBUS00001,300,0.807,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00002,300,0.88,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00003,300,0.778,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00004,300,0.82,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00005,300,0.763,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00006,300,0.723,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00007,300,0.755,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00008,300,0.85,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00009,300,0.84,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00010,300,0.832,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00011,300,0.806,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00012,300,0.864,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00013,300,0.798,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00014,300,0.787,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00015,300,0.85,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00016,300,0.752,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00017,300,0.79,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00018,300,0.749,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00019,300,0.845,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00020,300,0.866,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00021,300,0.761,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00022,300,0.866,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00023,300,0.851,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00024,300,0.778,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00025,300,0.805,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00026,300,0.872,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00027,300,0.875,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00028,300,0.858,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00029,300,0.879,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
PLANBUS00030,300,0.773,0.9,0.2,1862,Planned near-term e-bus expansion scenario; route assignment weighted by selected GTFS trip frequency
