date,hour,temperature,humidity,source
2026-06-18,0,21.7,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,1,21.4,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,2,21.3,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,3,21.4,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,4,21.7,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,5,22.2,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,6,22.8,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,7,23.6,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,8,24.3,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,9,25.1,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,10,25.8,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,11,26.5,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,12,26.9,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,13,27.2,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,14,27.3,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,15,27.2,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,16,26.9,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,17,26.5,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,18,25.8,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,19,25.1,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,20,24.3,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,21,23.6,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,22,22.8,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
2026-06-18,23,22.2,92,Hong Kong Observatory current weather API; hourly profile constructed for one-day simulation
