service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,0,0,0,0,0,0,20200101,20991231
2,0,1,0,0,0,0,0,20200101,20991231
3,1,1,0,0,0,0,0,20200101,20991231
4,0,0,1,0,0,0,0,20200101,20991231
5,1,0,1,0,0,0,0,20200101,20991231
6,0,1,1,0,0,0,0,20200101,20991231
7,1,1,1,0,0,0,0,20200101,20991231
8,0,0,0,1,0,0,0,20200101,20991231
9,1,0,0,1,0,0,0,20200101,20991231
10,0,1,0,1,0,0,0,20200101,20991231
11,1,1,0,1,0,0,0,20200101,20991231
12,0,0,1,1,0,0,0,20200101,20991231
13,1,0,1,1,0,0,0,20200101,20991231
14,0,1,1,1,0,0,0,20200101,20991231
15,1,1,1,1,0,0,0,20200101,20991231
16,0,0,0,0,1,0,0,20200101,20991231
17,1,0,0,0,1,0,0,20200101,20991231
18,0,1,0,0,1,0,0,20200101,20991231
19,1,1,0,0,1,0,0,20200101,20991231
20,0,0,1,0,1,0,0,20200101,20991231
21,1,0,1,0,1,0,0,20200101,20991231
22,0,1,1,0,1,0,0,20200101,20991231
23,1,1,1,0,1,0,0,20200101,20991231
24,0,0,0,1,1,0,0,20200101,20991231
25,1,0,0,1,1,0,0,20200101,20991231
26,0,1,0,1,1,0,0,20200101,20991231
27,1,1,0,1,1,0,0,20200101,20991231
28,0,0,1,1,1,0,0,20200101,20991231
29,1,0,1,1,1,0,0,20200101,20991231
30,0,1,1,1,1,0,0,20200101,20991231
31,1,1,1,1,1,0,0,20200101,20991231
32,0,0,0,0,0,1,0,20200101,20991231
33,1,0,0,0,0,1,0,20200101,20991231
34,0,1,0,0,0,1,0,20200101,20991231
35,1,1,0,0,0,1,0,20200101,20991231
36,0,0,1,0,0,1,0,20200101,20991231
37,1,0,1,0,0,1,0,20200101,20991231
38,0,1,1,0,0,1,0,20200101,20991231
39,1,1,1,0,0,1,0,20200101,20991231
40,0,0,0,1,0,1,0,20200101,20991231
41,1,0,0,1,0,1,0,20200101,20991231
42,0,1,0,1,0,1,0,20200101,20991231
43,1,1,0,1,0,1,0,20200101,20991231
44,0,0,1,1,0,1,0,20200101,20991231
45,1,0,1,1,0,1,0,20200101,20991231
46,0,1,1,1,0,1,0,20200101,20991231
47,1,1,1,1,0,1,0,20200101,20991231
48,0,0,0,0,1,1,0,20200101,20991231
49,1,0,0,0,1,1,0,20200101,20991231
50,0,1,0,0,1,1,0,20200101,20991231
51,1,1,0,0,1,1,0,20200101,20991231
52,0,0,1,0,1,1,0,20200101,20991231
53,1,0,1,0,1,1,0,20200101,20991231
54,0,1,1,0,1,1,0,20200101,20991231
55,1,1,1,0,1,1,0,20200101,20991231
56,0,0,0,1,1,1,0,20200101,20991231
57,1,0,0,1,1,1,0,20200101,20991231
58,0,1,0,1,1,1,0,20200101,20991231
59,1,1,0,1,1,1,0,20200101,20991231
60,0,0,1,1,1,1,0,20200101,20991231
61,1,0,1,1,1,1,0,20200101,20991231
62,0,1,1,1,1,1,0,20200101,20991231
63,1,1,1,1,1,1,0,20200101,20991231
64,0,0,0,0,0,0,1,20200101,20991231
65,1,0,0,0,0,0,1,20200101,20991231
66,0,1,0,0,0,0,1,20200101,20991231
67,1,1,0,0,0,0,1,20200101,20991231
68,0,0,1,0,0,0,1,20200101,20991231
69,1,0,1,0,0,0,1,20200101,20991231
70,0,1,1,0,0,0,1,20200101,20991231
71,1,1,1,0,0,0,1,20200101,20991231
72,0,0,0,1,0,0,1,20200101,20991231
73,1,0,0,1,0,0,1,20200101,20991231
74,0,1,0,1,0,0,1,20200101,20991231
75,1,1,0,1,0,0,1,20200101,20991231
76,0,0,1,1,0,0,1,20200101,20991231
77,1,0,1,1,0,0,1,20200101,20991231
78,0,1,1,1,0,0,1,20200101,20991231
79,1,1,1,1,0,0,1,20200101,20991231
80,0,0,0,0,1,0,1,20200101,20991231
81,1,0,0,0,1,0,1,20200101,20991231
82,0,1,0,0,1,0,1,20200101,20991231
83,1,1,0,0,1,0,1,20200101,20991231
84,0,0,1,0,1,0,1,20200101,20991231
85,1,0,1,0,1,0,1,20200101,20991231
86,0,1,1,0,1,0,1,20200101,20991231
87,1,1,1,0,1,0,1,20200101,20991231
88,0,0,0,1,1,0,1,20200101,20991231
89,1,0,0,1,1,0,1,20200101,20991231
90,0,1,0,1,1,0,1,20200101,20991231
91,1,1,0,1,1,0,1,20200101,20991231
92,0,0,1,1,1,0,1,20200101,20991231
93,1,0,1,1,1,0,1,20200101,20991231
94,0,1,1,1,1,0,1,20200101,20991231
95,1,1,1,1,1,0,1,20200101,20991231
96,0,0,0,0,0,1,1,20200101,20991231
97,1,0,0,0,0,1,1,20200101,20991231
98,0,1,0,0,0,1,1,20200101,20991231
99,1,1,0,0,0,1,1,20200101,20991231
100,0,0,1,0,0,1,1,20200101,20991231
101,1,0,1,0,0,1,1,20200101,20991231
102,0,1,1,0,0,1,1,20200101,20991231
103,1,1,1,0,0,1,1,20200101,20991231
104,0,0,0,1,0,1,1,20200101,20991231
105,1,0,0,1,0,1,1,20200101,20991231
106,0,1,0,1,0,1,1,20200101,20991231
107,1,1,0,1,0,1,1,20200101,20991231
108,0,0,1,1,0,1,1,20200101,20991231
109,1,0,1,1,0,1,1,20200101,20991231
110,0,1,1,1,0,1,1,20200101,20991231
111,1,1,1,1,0,1,1,20200101,20991231
112,0,0,0,0,1,1,1,20200101,20991231
113,1,0,0,0,1,1,1,20200101,20991231
114,0,1,0,0,1,1,1,20200101,20991231
115,1,1,0,0,1,1,1,20200101,20991231
116,0,0,1,0,1,1,1,20200101,20991231
117,1,0,1,0,1,1,1,20200101,20991231
118,0,1,1,0,1,1,1,20200101,20991231
119,1,1,1,0,1,1,1,20200101,20991231
120,0,0,0,1,1,1,1,20200101,20991231
121,1,0,0,1,1,1,1,20200101,20991231
122,0,1,0,1,1,1,1,20200101,20991231
123,1,1,0,1,1,1,1,20200101,20991231
124,0,0,1,1,1,1,1,20200101,20991231
125,1,0,1,1,1,1,1,20200101,20991231
126,0,1,1,1,1,1,1,20200101,20991231
127,1,1,1,1,1,1,1,20200101,20991231
128,0,0,0,0,0,0,0,20200101,20991231
129,1,0,0,0,0,0,0,20200101,20991231
130,0,1,0,0,0,0,0,20200101,20991231
131,1,1,0,0,0,0,0,20200101,20991231
132,0,0,1,0,0,0,0,20200101,20991231
133,1,0,1,0,0,0,0,20200101,20991231
134,0,1,1,0,0,0,0,20200101,20991231
135,1,1,1,0,0,0,0,20200101,20991231
136,0,0,0,1,0,0,0,20200101,20991231
137,1,0,0,1,0,0,0,20200101,20991231
138,0,1,0,1,0,0,0,20200101,20991231
139,1,1,0,1,0,0,0,20200101,20991231
140,0,0,1,1,0,0,0,20200101,20991231
141,1,0,1,1,0,0,0,20200101,20991231
142,0,1,1,1,0,0,0,20200101,20991231
143,1,1,1,1,0,0,0,20200101,20991231
144,0,0,0,0,1,0,0,20200101,20991231
145,1,0,0,0,1,0,0,20200101,20991231
146,0,1,0,0,1,0,0,20200101,20991231
147,1,1,0,0,1,0,0,20200101,20991231
148,0,0,1,0,1,0,0,20200101,20991231
149,1,0,1,0,1,0,0,20200101,20991231
150,0,1,1,0,1,0,0,20200101,20991231
151,1,1,1,0,1,0,0,20200101,20991231
152,0,0,0,1,1,0,0,20200101,20991231
153,1,0,0,1,1,0,0,20200101,20991231
154,0,1,0,1,1,0,0,20200101,20991231
155,1,1,0,1,1,0,0,20200101,20991231
156,0,0,1,1,1,0,0,20200101,20991231
157,1,0,1,1,1,0,0,20200101,20991231
158,0,1,1,1,1,0,0,20200101,20991231
159,1,1,1,1,1,0,0,20200101,20991231
160,0,0,0,0,0,1,0,20200101,20991231
161,1,0,0,0,0,1,0,20200101,20991231
162,0,1,0,0,0,1,0,20200101,20991231
163,1,1,0,0,0,1,0,20200101,20991231
164,0,0,1,0,0,1,0,20200101,20991231
165,1,0,1,0,0,1,0,20200101,20991231
166,0,1,1,0,0,1,0,20200101,20991231
167,1,1,1,0,0,1,0,20200101,20991231
168,0,0,0,1,0,1,0,20200101,20991231
169,1,0,0,1,0,1,0,20200101,20991231
170,0,1,0,1,0,1,0,20200101,20991231
171,1,1,0,1,0,1,0,20200101,20991231
172,0,0,1,1,0,1,0,20200101,20991231
173,1,0,1,1,0,1,0,20200101,20991231
174,0,1,1,1,0,1,0,20200101,20991231
175,1,1,1,1,0,1,0,20200101,20991231
176,0,0,0,0,1,1,0,20200101,20991231
177,1,0,0,0,1,1,0,20200101,20991231
178,0,1,0,0,1,1,0,20200101,20991231
179,1,1,0,0,1,1,0,20200101,20991231
180,0,0,1,0,1,1,0,20200101,20991231
181,1,0,1,0,1,1,0,20200101,20991231
182,0,1,1,0,1,1,0,20200101,20991231
183,1,1,1,0,1,1,0,20200101,20991231
184,0,0,0,1,1,1,0,20200101,20991231
185,1,0,0,1,1,1,0,20200101,20991231
186,0,1,0,1,1,1,0,20200101,20991231
187,1,1,0,1,1,1,0,20200101,20991231
188,0,0,1,1,1,1,0,20200101,20991231
189,1,0,1,1,1,1,0,20200101,20991231
190,0,1,1,1,1,1,0,20200101,20991231
191,1,1,1,1,1,1,0,20200101,20991231
192,0,0,0,0,0,0,1,20200101,20991231
193,1,0,0,0,0,0,1,20200101,20991231
194,0,1,0,0,0,0,1,20200101,20991231
195,1,1,0,0,0,0,1,20200101,20991231
196,0,0,1,0,0,0,1,20200101,20991231
197,1,0,1,0,0,0,1,20200101,20991231
198,0,1,1,0,0,0,1,20200101,20991231
199,1,1,1,0,0,0,1,20200101,20991231
200,0,0,0,1,0,0,1,20200101,20991231
201,1,0,0,1,0,0,1,20200101,20991231
202,0,1,0,1,0,0,1,20200101,20991231
203,1,1,0,1,0,0,1,20200101,20991231
204,0,0,1,1,0,0,1,20200101,20991231
205,1,0,1,1,0,0,1,20200101,20991231
206,0,1,1,1,0,0,1,20200101,20991231
207,1,1,1,1,0,0,1,20200101,20991231
208,0,0,0,0,1,0,1,20200101,20991231
209,1,0,0,0,1,0,1,20200101,20991231
210,0,1,0,0,1,0,1,20200101,20991231
211,1,1,0,0,1,0,1,20200101,20991231
212,0,0,1,0,1,0,1,20200101,20991231
213,1,0,1,0,1,0,1,20200101,20991231
214,0,1,1,0,1,0,1,20200101,20991231
215,1,1,1,0,1,0,1,20200101,20991231
216,0,0,0,1,1,0,1,20200101,20991231
217,1,0,0,1,1,0,1,20200101,20991231
218,0,1,0,1,1,0,1,20200101,20991231
219,1,1,0,1,1,0,1,20200101,20991231
220,0,0,1,1,1,0,1,20200101,20991231
221,1,0,1,1,1,0,1,20200101,20991231
222,0,1,1,1,1,0,1,20200101,20991231
223,1,1,1,1,1,0,1,20200101,20991231
224,0,0,0,0,0,1,1,20200101,20991231
225,1,0,0,0,0,1,1,20200101,20991231
226,0,1,0,0,0,1,1,20200101,20991231
227,1,1,0,0,0,1,1,20200101,20991231
228,0,0,1,0,0,1,1,20200101,20991231
229,1,0,1,0,0,1,1,20200101,20991231
230,0,1,1,0,0,1,1,20200101,20991231
231,1,1,1,0,0,1,1,20200101,20991231
232,0,0,0,1,0,1,1,20200101,20991231
233,1,0,0,1,0,1,1,20200101,20991231
234,0,1,0,1,0,1,1,20200101,20991231
235,1,1,0,1,0,1,1,20200101,20991231
236,0,0,1,1,0,1,1,20200101,20991231
237,1,0,1,1,0,1,1,20200101,20991231
238,0,1,1,1,0,1,1,20200101,20991231
239,1,1,1,1,0,1,1,20200101,20991231
240,0,0,0,0,1,1,1,20200101,20991231
241,1,0,0,0,1,1,1,20200101,20991231
242,0,1,0,0,1,1,1,20200101,20991231
243,1,1,0,0,1,1,1,20200101,20991231
244,0,0,1,0,1,1,1,20200101,20991231
245,1,0,1,0,1,1,1,20200101,20991231
246,0,1,1,0,1,1,1,20200101,20991231
247,1,1,1,0,1,1,1,20200101,20991231
248,0,0,0,1,1,1,1,20200101,20991231
249,1,0,0,1,1,1,1,20200101,20991231
250,0,1,0,1,1,1,1,20200101,20991231
251,1,1,0,1,1,1,1,20200101,20991231
252,0,0,1,1,1,1,1,20200101,20991231
253,1,0,1,1,1,1,1,20200101,20991231
254,0,1,1,1,1,1,1,20200101,20991231
255,1,1,1,1,1,1,1,20200101,20991231
256,0,0,0,0,0,0,0,20200101,20991231
257,1,0,0,0,0,0,0,20200101,20991231
258,0,1,0,0,0,0,0,20200101,20991231
259,1,1,0,0,0,0,0,20200101,20991231
260,0,0,1,0,0,0,0,20200101,20991231
261,1,0,1,0,0,0,0,20200101,20991231
262,0,1,1,0,0,0,0,20200101,20991231
263,1,1,1,0,0,0,0,20200101,20991231
