route_id,agency_id,route_short_name,route_long_name,route_type,route_url
1001,KMB,1,竹园邨 - 尖沙咀码头,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-cn
1002,KMB,10,彩云 - 大角咀(循环线),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-cn
1006,KMB+CTB,102P,筲箕湾 - 美孚,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-cn
1008,KMB+CTB,103,竹园邨 - 蒲飞路,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-cn
1010,KMB+CTB,106,黄大仙 - 小西湾(蓝湾半岛),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-cn
1014,KMB,108,启业 - 宝马山,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-cn
1015,KMB+CTB,109,何文田 - 中环(港澳码头),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=zh-cn
1016,KMB,11,钻石山站 - 九龙站,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=zh-cn
1017,KMB+CTB,110,筲箕湾 - 尖沙咀(循环线),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=zh-cn
1019,KMB+CTB,112,北角 - 苏屋,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=112&lang=zh-cn
1021,KMB+CTB,115,九龙城码头 - 中环(港澳码头),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=115&lang=zh-cn
1022,KMB+CTB,115P,海逸豪园 - 中环(港澳码头),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=115P&lang=zh-cn
1023,KMB+CTB,116,慈云山(中) - 鲗鱼涌,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=116&lang=zh-cn
1024,KMB+CTB,117,深水埗(钦州街) - 跑马地(下),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=117&lang=zh-cn
1027,KMB,11B,观塘(翠屏道) - 九龙城码头,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11B&lang=zh-cn
1028,KMB,11C,竹园邨 - 上秀茂坪,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11C&lang=zh-cn
1029,KMB,11D,乐富 - 观塘码头,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11D&lang=zh-cn
1030,KMB,11K,竹园邨 - 红磡站,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11K&lang=zh-cn
1031,KMB,11X,安泰(北) - 红磡站,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11X&lang=zh-cn
1032,KMB,12,海丽邨 - 尖沙咀东(么地道),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=12&lang=zh-cn
1033,KMB,12A,黄埔花园 - 长沙湾(海达邨),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=12A&lang=zh-cn
1034,KMB,13D,宝达 - 维港湾,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13D&lang=zh-cn
1035,KMB,13M,观塘(雅丽道) - 宝达(循环线),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13M&lang=zh-cn
1036,KMB,13P,宝达 - 长沙湾(丽阁邨),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13P&lang=zh-cn
1037,KMB,13X,宝达 - 尖沙咀东,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13X&lang=zh-cn
1038,KMB,14,鲤鱼门邨 - 中港码头,3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14&lang=zh-cn
1039,KMB,14B,牛头角 - 蓝田(广田邨),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14B&lang=zh-cn
1040,KMB,14X,油塘(祟德围) - 尖沙咀(循环线),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14X&lang=zh-cn
1041,KMB,15,平田 - 红磡(红鸾道),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=15&lang=zh-cn
1042,KMB,15A,平田 - 慈云山(北),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=15A&lang=zh-cn
1044,KMB,16,蓝田(广田邨) - 旺角(柏景湾),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=16&lang=zh-cn
1045,KMB,16M,观塘(裕民坊) - 蓝田(康华苑) (循环线),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=16M&lang=zh-cn
1046,KMB,17,观塘(裕民坊) - 何文田(爱民邨),3,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=17&lang=zh-cn
