trip_id,route_id,bus_id,status,miss_reason,origin,destination,trip_start_time,trip_end_time,trip_start_min,trip_end_min,distance_km,predicted_energy_kwh,soc_before_trip,soc_after_trip,charge_requested,station_id,charger_id,charger_type,charging_power_kw,charge_start_time,charge_end_time,charge_start_min,charge_end_min,wait_time_min,charge_duration_min,charged_energy_kwh,charging_cost,currency,soc_after_charge
1862-1-287-0530,1862,CURBUS00024,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:30:00,05:51:00,330.0,351.0,5.11,12.107488138354723,0.88,0.8396417062054843,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8396417062054843
1862-1-288-0530,1862,CURBUS00029,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:30:00,05:51:00,330.0,351.0,5.11,12.970991204034071,0.88,0.8367633626532198,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8367633626532198
1862-1-448-0530,1862,CURBUS00078,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:30:00,05:51:00,330.0,351.0,5.11,6.094560567307197,0.88,0.859684798108976,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.859684798108976
1862-1-287-0534,1862,CURBUS00038,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:34:00,05:55:00,334.0,355.0,5.11,6.529940702744907,0.879,0.8572335309908503,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8572335309908503
1862-1-288-0535,1862,CURBUS00063,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:35:00,05:56:00,335.0,356.0,5.11,7.5054049309003235,0.879,0.8539819835636656,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8539819835636656
1862-1-448-0537,1862,CURBUS00061,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:37:00,05:58:00,337.0,358.0,5.11,7.430959254598287,0.878,0.8532301358180057,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8532301358180057
1862-1-287-0544,1862,CURBUS00027,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:44:00,06:05:00,344.0,365.0,5.11,6.557590247819574,0.876,0.8541413658406014,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8541413658406014
1862-1-288-0545,1862,CURBUS00057,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:45:00,06:06:00,345.0,366.0,5.11,15.187304453276033,0.876,0.8253756518224132,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8253756518224132
1862-2-287-0545,1862,CURBUS00023,completed,,[LRTFeeder] 兆麟,[CTB] 屯门码头,05:45:00,06:06:00,345.0,366.0,4.5,6.809358851084325,0.874,0.8513021371630523,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8513021371630523
1862-2-288-0545,1862,CURBUS00032,completed,,[LRTFeeder] 兆麟,[CTB] 屯门码头,05:45:00,06:06:00,345.0,366.0,4.5,5.784116898824636,0.872,0.8527196103372512,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8527196103372512
1862-2-448-0545,1862,CURBUS00059,completed,,[LRTFeeder] 兆麟,[CTB] 屯门码头,05:45:00,06:06:00,345.0,366.0,4.5,5.8043597322382166,0.87,0.8506521342258726,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8506521342258726
1862-1-448-0547,1862,CURBUS00074,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:47:00,06:08:00,347.0,368.0,5.11,14.379082768880046,0.866,0.8180697241037331,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8180697241037331
1862-1-287-0548,1862,CURBUS00064,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:48:00,06:09:00,348.0,369.0,5.11,7.25774833442882,0.864,0.839807505551904,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.839807505551904
1862-2-287-0549,1862,CURBUS00012,completed,,[LRTFeeder] 兆麟,[CTB] 屯门码头,05:49:00,06:10:00,349.0,370.0,4.5,12.383554778289886,0.859,0.817721484072367,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.817721484072367
1862-1-288-0550,1862,CURBUS00006,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:50:00,06:11:00,350.0,371.0,5.11,6.835234277772778,0.858,0.8352158857407574,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8352158857407574
1862-2-288-0550,1862,CURBUS00009,completed,,[LRTFeeder] 兆麟,[CTB] 屯门码头,05:50:00,06:11:00,350.0,371.0,4.5,5.932282853754048,0.857,0.8372257238208198,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8372257238208198
1862-2-448-0552,1862,CURBUS00021,completed,,[LRTFeeder] 兆麟,[CTB] 屯门码头,05:52:00,06:13:00,352.0,373.0,4.5,6.520989626676495,0.855,0.8332633679110784,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8332633679110784
1862-1-448-0554,1862,CURBUS00025,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:54:00,06:15:00,354.0,375.0,5.11,6.374379519875227,0.85,0.8287520682670826,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8287520682670826
