trip_id,route_id,bus_id,status,miss_reason,origin,destination,trip_start_time,trip_end_time,trip_start_min,trip_end_min,distance_km,predicted_energy_kwh,soc_before_trip,soc_after_trip,charge_requested,station_id,charger_id,charger_type,charging_power_kw,charge_start_time,charge_end_time,charge_start_min,charge_end_min,wait_time_min,charge_duration_min,charged_energy_kwh,charging_cost,currency,soc_after_charge
2010995-1-511-0000,2010995,HKBUS00010,completed,,石排湾邨公共运输交汇处,黃竹坑站,00:00:00,00:08:00,0.0,8.0,1.89,7.075044996181902,0.88,0.8564165166793937,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8564165166793937
2010995-2-511-0000,2010995,HKBUS00248,completed,,黃竹坑站,石排湾邨公共运输交汇处,00:00:00,00:08:00,0.0,8.0,2.32,6.894366942914801,0.88,0.8570187768569507,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8570187768569507
2002217-1-511-0000,2002217,HKBUS00279,completed,,柴湾站公共运输交汇处,柴湾站公共运输交汇处,00:00:00,00:10:00,0.0,10.0,3.49,6.482331075736638,0.88,0.8583922297475446,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8583922297475446
2002814-1-511-0000,2002814,HKBUS01441,completed,,华贵邨巴士总站,华贵邨巴士总站,00:00:00,00:17:00,0.0,17.0,3.75,7.787119753299386,0.88,0.8540429341556687,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8540429341556687
2004089-1-511-0000,2004089,HKBUS01864,completed,,石排湾邨公共运输交汇处,"景隆街,近总统戏院",00:00:00,00:17:00,0.0,17.0,6.23,14.590089828406615,0.88,0.8313663672386447,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8313663672386447
2004089-2-511-0000,2004089,HKBUS01876,completed,,"景隆街,近总统戏院",石排湾邨公共运输交汇处,00:00:00,00:17:00,0.0,17.0,5.68,8.0489067383124,0.88,0.853170310872292,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.853170310872292
2004086-1-511-0000,2004086,HKBUS05016,completed,,石排湾邨公共运输交汇处,"景隆街,近总统戏院",00:00:00,00:19:00,0.0,19.0,7.3,15.560215668679673,0.864,0.8121326144377344,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8121326144377344
2007433-1-511-0000,2007433,HKBUS01878,completed,,平定道,"旺角道, 捷利大厦",00:00:00,00:19:00,0.0,19.0,6.5,8.196770069839356,0.88,0.8526774331005355,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8526774331005355
2007433-2-511-0000,2007433,HKBUS02375,completed,,"旺角道, 捷利大厦",平定道,00:00:00,00:19:00,0.0,19.0,6.63,16.6323432455748,0.88,0.824558855848084,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.824558855848084
8326-1-511-0000,8326,HKBUS04990,completed,,[CTB] 东涌站,"[CTB] 裕雅商场, 怡东路",00:00:00,00:22:00,0.0,22.0,15.48,19.631245236156552,0.843,0.7775625158794781,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7775625158794781
2004093-1-511-0000,2004093,HKBUS02545,completed,,"景隆街,近总统戏院","景隆街,近总统戏院",00:00:00,00:23:00,0.0,23.0,9.93,28.45531119530113,0.88,0.7851489626823296,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7851489626823296
2004826-1-511-0000,2004826,HKBUS02577,completed,,宝琳公共运输交汇处,"龙翔道, 彩虹村红萼楼外",00:00:00,00:24:00,0.0,24.0,10.94,13.44170404987734,0.88,0.8351943198337421,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8351943198337421
2004826-2-511-0000,2004826,HKBUS03156,completed,,"龙翔道, 近牛池湾消防局",宝琳公共运输交汇处,00:00:00,00:24:00,0.0,24.0,11.16,15.081802057885945,0.88,0.8297273264737135,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8297273264737135
2008593-1-511-0000,2008593,HKBUS00970,completed,,荃湾(川龙街),石篱(梨贝街),00:00:00,00:27:00,0.0,27.0,4.15,7.006271024766696,0.836,0.8126457632507776,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8126457632507776
2008593-2-511-0000,2008593,HKBUS04332,completed,,石篱(梨贝街),荃湾(川龙街),00:00:00,00:27:00,0.0,27.0,3.43,4.576601880081886,0.88,0.8647446603997271,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8647446603997271
2001264-1-511-0000,2001264,HKBUS04527,completed,,赤柱滩道大潭村外,渣甸街,00:00:00,00:28:00,0.0,28.0,11.35,14.782372355098872,0.88,0.8307254254830038,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8307254254830038
2001264-2-511-0000,2001264,HKBUS04693,completed,,渣甸街,赤柱滩道大潭村外,00:00:00,00:28:00,0.0,28.0,12.41,32.53197461611762,0.88,0.7715600846129412,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7715600846129412
1000558-1-511-0000,1000558,HKBUS04899,completed,,[DB] 愉景广场巴士总站,[DB] 愉景广场巴士总站,00:00:00,00:30:00,0.0,30.0,26.99,36.69310553405037,0.88,0.7576896482198321,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7576896482198321
1973-1-287-0000,1973,HKBUS00982,completed,,[CTB] 荃湾站,[XB] 皇岗,00:00:00,00:35:00,0.0,35.0,17.24,39.86155357043602,0.863,0.7301281547652132,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7301281547652132
1973-1-480-0000,1973,HKBUS05226,completed,,[CTB] 荃湾站,[XB] 皇岗,00:00:00,00:35:00,0.0,35.0,17.24,21.48079951252806,0.738,0.6663973349582398,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6663973349582398
1973-2-287-0000,1973,HKBUS05109,completed,,[XB] 皇岗,[CTB] 荃湾站,00:00:00,00:35:00,0.0,35.0,17.38,34.924378170231826,0.88,0.7635854060992272,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7635854060992272
1973-2-480-0000,1973,HKBUS00093,completed,,[XB] 皇岗,[CTB] 荃湾站,00:00:00,00:35:00,0.0,35.0,17.38,45.95493233123448,0.879,0.7258168922292184,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7258168922292184
2006772-2-511-0000,2006772,HKBUS00184,completed,,"谢斐道, 近兆安广场",田湾邨小巴总站,00:00:00,00:37:00,0.0,37.0,11.32,28.807724567262053,0.879,0.7829742514424598,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7829742514424598
1000419-1-288-0000,1000419,HKBUS00534,completed,,[CTB] 深圳湾口岸,[CTB] 屯门码头,00:00:00,00:47:00,0.0,47.0,17.47,40.96045108113182,0.879,0.7424651630628939,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7424651630628939
2007630-2-511-0000,2007630,HKBUS03141,completed,,落马洲管制站,天水围北(俊宏轩)小巴总站,00:00:00,00:51:00,0.0,51.0,17.03,22.248949643472756,0.834,0.7598368345217574,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7598368345217574
2008851-2-511-0000,2008851,HKBUS01714,completed,,"弼街, 近旺角机楼",良景村 良景广场,00:00:00,00:57:00,0.0,57.0,28.45,44.233895051859086,0.875,0.7275536831604696,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7275536831604696
1432-1-511-0000,1432,HKBUS00897,completed,,[CTB] 沙田巿中心,[CTB] 华富(中),00:00:00,01:00:00,0.0,60.0,21.45,28.931339487331503,0.879,0.782562201708895,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.782562201708895
1432-2-511-0000,1432,HKBUS01118,completed,,[CTB] 华富 (中),[CTB] 沙田巿中心,00:00:00,01:00:00,0.0,60.0,23.15,30.870759954484218,0.879,0.776097466818386,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.776097466818386
2008786-1-511-0000,2008786,HKBUS01459,completed,,"凤翔路, 近凤庭苑华庭阁","么地道, 近么地道花园",00:00:00,01:01:00,0.0,61.0,32.34,79.69845725739619,0.879,0.6133384758086794,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6133384758086794
2008786-2-511-0000,2008786,HKBUS01517,completed,,"么地道, 近么地道花园","凤翔路, 近凤庭苑华庭阁",00:00:00,01:01:00,0.0,61.0,32.23,58.822010588865474,0.879,0.6829266313704484,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6829266313704484
8448-1-287-0000,8448,HKBUS02939,completed,,[CTB] 海怡半岛,[KMB+CTB] 荔枝角巴士总站/ 荔枝角,00:00:00,01:03:00,0.0,63.0,16.84,23.02126218849744,0.847,0.7702624593716751,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7702624593716751
8448-1-288-0000,8448,HKBUS05333,completed,,[CTB] 海怡半岛,[KMB+CTB] 荔枝角巴士总站/ 荔枝角,00:00:00,01:03:00,0.0,63.0,16.84,27.260218978126428,0.843,0.7521326034062452,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7521326034062452
1434-2-511-0000,1434,HKBUS03609,completed,,[CTB] 中环 (港澳码头),[KMB+CTB] 广源巴士总站/ 广源邨,00:00:00,01:04:00,0.0,64.0,20.96,48.8740125545786,0.805,0.6420866248180714,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6420866248180714
