trip_id,route_id,bus_id,status,miss_reason,origin,destination,trip_start_time,trip_end_time,trip_start_min,trip_end_min,distance_km,predicted_energy_kwh,soc_before_trip,soc_after_trip,charge_requested,station_id,charger_id,charger_type,charging_power_kw,charge_start_time,charge_end_time,charge_start_min,charge_end_min,wait_time_min,charge_duration_min,charged_energy_kwh,charging_cost,currency,soc_after_charge
1001-1-287-0535,1001,BUS014,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),05:35:00,06:20:00,335.0,380.0,7.98,15.96926331879727,0.847,0.7937691222706758,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7937691222706758
1001-1-288-0535,1001,BUS001,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),05:35:00,06:20:00,335.0,380.0,7.98,18.18378726733069,0.843,0.7823873757755644,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7823873757755644
1001-1-448-0535,1001,BUS013,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),05:35:00,06:20:00,335.0,380.0,7.98,22.619811569140307,0.842,0.7666006281028657,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7666006281028657
1002-1-287-0600,1002,BUS007,completed,,[KMB] 彩云总站,[KMB] 彩云总站,06:00:00,06:58:00,360.0,418.0,16.17,43.10717032460649,0.84,0.6963094322513117,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6963094322513117
1002-1-288-0600,1002,BUS004,completed,,[KMB] 彩云总站,[KMB] 彩云总站,06:00:00,06:58:00,360.0,418.0,16.17,39.40585604606339,0.838,0.706647146513122,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.706647146513122
1002-1-448-0600,1002,BUS015,completed,,[KMB] 彩云总站,[KMB] 彩云总站,06:00:00,06:58:00,360.0,418.0,16.17,21.366543597225014,0.837,0.7657781880092499,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7657781880092499
1001-2-287-0630,1001,BUS002,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,06:30:00,07:15:00,390.0,435.0,8.24,10.295857146835802,0.834,0.7996804761772139,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7996804761772139
1001-2-288-0630,1001,BUS003,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,06:30:00,07:15:00,390.0,435.0,8.24,19.979222268855295,0.832,0.765402592437149,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.765402592437149
1001-2-448-0630,1001,BUS012,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,06:30:00,07:15:00,390.0,435.0,8.24,17.78490784316709,0.829,0.7697169738561097,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7697169738561097
1001-1-288-0635,1001,BUS008,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),06:35:00,07:20:00,395.0,440.0,7.98,18.116164688360644,0.826,0.7656127843721311,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7656127843721311
1002-1-287-0700,1002,BUS010,completed,,[KMB] 彩云总站,[KMB] 彩云总站,07:00:00,07:58:00,420.0,478.0,16.17,24.48347398647328,0.814,0.732388420045089,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.732388420045089
1001-1-287-0705,1001,BUS017,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),07:05:00,07:50:00,425.0,470.0,7.98,17.136405496304047,0.812,0.7548786483456532,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7548786483456532
1002-1-287-0715,1002,BUS011,completed,,[KMB] 彩云总站,[KMB] 彩云总站,07:15:00,08:13:00,435.0,493.0,16.17,32.20411412514422,0.796,0.688652952916186,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.688652952916186
1006-2-287-0715,1006,BUS006,completed,,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,07:15:00,08:19:00,435.0,499.0,12.52,18.33031624305768,0.78,0.7188989458564744,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7188989458564744
1006-2-287-0728,1006,BUS016,completed,,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,07:28:00,08:32:00,448.0,512.0,12.52,32.15531347738428,0.773,0.6658156217420524,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6658156217420524
1001-1-448-0735,1001,BUS019,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),07:35:00,08:20:00,455.0,500.0,7.98,10.7470628743978,0.771,0.7351764570853407,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7351764570853407
1006-1-287-0737,1006,BUS005,completed,,[CTB] 筲箕湾,[KMB+CTB] 美孚巴士总站/ 美孚,07:37:00,08:41:00,457.0,521.0,12.81,19.161025551851065,0.769,0.7051299148271631,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7051299148271631
1006-2-287-0741,1006,BUS009,completed,,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,07:41:00,08:45:00,461.0,525.0,12.52,22.045564613648892,0.745,0.6715147846211703,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6715147846211703
1001-2-288-0745,1001,BUS018,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,07:45:00,08:30:00,465.0,510.0,8.24,17.138359033392444,0.743,0.6858721365553585,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6858721365553585
1006-1-287-0752,1006,BUS020,completed,,[CTB] 筲箕湾,[KMB+CTB] 美孚巴士总站/ 美孚,07:52:00,08:56:00,472.0,536.0,12.81,20.08552749098001,0.72,0.6530482416967333,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6530482416967333
1006-2-287-0754,1006,BUS014,completed,,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,07:54:00,08:58:00,474.0,538.0,12.52,30.848989897483573,0.7937691222706758,0.6909391559457305,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6909391559457305
1002-1-287-0755,1002,BUS001,completed,,[KMB] 彩云总站,[KMB] 彩云总站,07:55:00,08:53:00,475.0,533.0,16.17,40.72903010097995,0.7823873757755644,0.6466239421056312,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6466239421056312
1001-1-287-0805,1001,BUS013,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),08:05:00,08:50:00,485.0,530.0,7.98,21.2154968322956,0.7666006281028657,0.695882305328547,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.695882305328547
1001-1-288-0805,1001,BUS015,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),08:05:00,08:50:00,485.0,530.0,7.98,12.084840699068591,0.7657781880092499,0.7254953856790213,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7254953856790213
1001-1-448-0805,1001,BUS004,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),08:05:00,08:50:00,485.0,530.0,7.98,12.366865576097888,0.706647146513122,0.6654242612594624,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6654242612594624
1006-2-287-0807,1006,BUS007,completed,,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,08:07:00,09:11:00,487.0,551.0,12.52,18.63076320626903,0.6963094322513117,0.6342068882304149,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6342068882304149
1001-1-287-0905,1001,BUS002,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),09:05:00,09:50:00,545.0,590.0,7.98,12.582877081035232,0.7996804761772139,0.7577375525737632,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7577375525737632
1001-1-288-0905,1001,BUS012,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),09:05:00,09:50:00,545.0,590.0,7.98,12.14359826474659,0.7697169738561097,0.7292383129736211,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7292383129736211
1001-1-448-0905,1001,BUS003,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),09:05:00,09:50:00,545.0,590.0,7.98,20.751295957349015,0.765402592437149,0.6962316059126523,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6962316059126523
1001-2-448-0950,1001,BUS008,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,09:50:00,10:35:00,590.0,635.0,8.24,13.128735461539062,0.7656127843721311,0.7218503328336675,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7218503328336675
1002-1-287-1000,1002,BUS017,completed,,[KMB] 彩云总站,[KMB] 彩云总站,10:00:00,10:58:00,600.0,658.0,16.17,45.99427211570345,0.7548786483456532,0.601564407959975,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.601564407959975
1001-1-288-1005,1001,BUS010,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),10:05:00,10:50:00,605.0,650.0,7.98,10.948810315569933,0.732388420045089,0.6958923856598559,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6958923856598559
1001-2-287-1040,1001,BUS011,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,10:40:00,11:25:00,640.0,685.0,8.24,15.135669856968764,0.688652952916186,0.6382007200596235,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6382007200596235
1002-1-288-1100,1002,BUS006,completed,,[KMB] 彩云总站,[KMB] 彩云总站,11:00:00,11:58:00,660.0,718.0,16.17,35.24176973287031,0.7188989458564744,0.6014263800802401,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6014263800802401
1001-1-287-1105,1001,BUS019,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),11:05:00,11:50:00,665.0,710.0,7.98,10.763908719528722,0.7351764570853407,0.6992967613535783,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6992967613535783
1001-2-287-1140,1001,BUS018,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,11:40:00,12:25:00,700.0,745.0,8.24,17.447144231031142,0.6858721365553585,0.627714989118588,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.627714989118588
1001-2-448-1150,1001,BUS016,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,11:50:00,12:35:00,710.0,755.0,8.24,11.203140223005978,0.6658156217420524,0.6284718209986991,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6284718209986991
1002-1-287-1200,1002,BUS005,completed,,[KMB] 彩云总站,[KMB] 彩云总站,12:00:00,12:58:00,720.0,778.0,16.17,48.08038942325167,0.7051299148271631,0.5448619500829909,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5448619500829909
1001-1-288-1205,1001,BUS009,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),12:05:00,12:50:00,725.0,770.0,7.98,13.61914417538279,0.6715147846211703,0.6261176373698943,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6261176373698943
1001-2-288-1245,1001,BUS015,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,12:45:00,13:30:00,765.0,810.0,8.24,12.49021891851476,0.7254953856790213,0.6838613226173054,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6838613226173054
1001-2-448-1250,1001,BUS013,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,12:50:00,13:35:00,770.0,815.0,8.24,15.931803908621593,0.695882305328547,0.6427762922998084,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6427762922998084
1002-1-448-1300,1002,BUS004,completed,,[KMB] 彩云总站,[KMB] 彩云总站,13:00:00,13:58:00,780.0,838.0,16.17,46.228861130861254,0.6654242612594624,0.5113280574899249,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5113280574899249
1002-1-288-1305,1002,BUS001,completed,,[KMB] 彩云总站,[KMB] 彩云总站,13:05:00,14:03:00,785.0,843.0,16.17,47.289995278273175,0.6466239421056312,0.4889906245113873,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.4889906245113873
1001-2-287-1310,1001,BUS020,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,13:10:00,13:55:00,790.0,835.0,8.24,14.262958982063433,0.6530482416967333,0.6055050450898551,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6055050450898551
1001-2-288-1315,1001,BUS014,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,13:15:00,14:00:00,795.0,840.0,8.24,16.40742814220862,0.6909391559457305,0.6362477288050351,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6362477288050351
1001-2-448-1350,1001,BUS007,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,13:50:00,14:35:00,830.0,875.0,8.24,12.031667598232678,0.6342068882304149,0.5941013295696393,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5941013295696393
1001-2-287-1358,1001,BUS002,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,13:58:00,14:43:00,838.0,883.0,8.24,17.189882186499588,0.7577375525737632,0.7004379452854312,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7004379452854312
1001-1-288-1405,1001,BUS012,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),14:05:00,14:50:00,845.0,890.0,7.98,21.00870758200805,0.7292383129736211,0.6592092877002609,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6592092877002609
1001-1-448-1405,1001,BUS003,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),14:05:00,14:50:00,845.0,890.0,7.98,19.441873013340572,0.6962316059126523,0.6314253625348504,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6314253625348504
1002-1-287-1405,1002,BUS008,completed,,[KMB] 彩云总站,[KMB] 彩云总站,14:05:00,15:03:00,845.0,903.0,16.17,26.38346514016219,0.7218503328336675,0.6339054490331268,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6339054490331268
1001-2-287-1408,1001,BUS010,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,14:08:00,14:53:00,848.0,893.0,8.24,13.495504466712966,0.6958923856598559,0.6509073707708126,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6509073707708126
1001-1-448-1605,1001,BUS017,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),16:05:00,16:50:00,965.0,1010.0,7.98,11.37791846676155,0.601564407959975,0.5636380130707699,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5636380130707699
1002-1-288-1645,1002,BUS011,completed,,[KMB] 彩云总站,[KMB] 彩云总站,16:45:00,17:43:00,1005.0,1063.0,16.17,26.690971516836047,0.6382007200596235,0.5492308150035033,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5492308150035033
1002-1-448-1645,1002,BUS019,completed,,[KMB] 彩云总站,[KMB] 彩云总站,16:45:00,17:43:00,1005.0,1063.0,16.17,29.964244560948615,0.6992967613535783,0.5994159461504163,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5994159461504163
1001-2-448-1650,1001,BUS006,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,16:50:00,17:35:00,1010.0,1055.0,8.24,12.720526829754402,0.6014263800802401,0.5590246239810588,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5590246239810588
1001-1-287-1705,1001,BUS018,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),17:05:00,17:50:00,1025.0,1070.0,7.98,24.684997275524555,0.627714989118588,0.5454316648668395,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5454316648668395
1002-1-287-1725,1002,BUS016,completed,,[KMB] 彩云总站,[KMB] 彩云总站,17:25:00,18:23:00,1045.0,1103.0,16.17,27.355811422891566,0.6284718209986991,0.5372857829223939,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5372857829223939
1001-1-287-1735,1001,BUS009,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),17:35:00,18:20:00,1055.0,1100.0,7.98,20.388746013583248,0.6261176373698943,0.5581551506579502,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5581551506579502
1006-1-287-1800,1006,BUS005,completed,,[CTB] 筲箕湾,[KMB+CTB] 美孚巴士总站/ 美孚,18:00:00,19:04:00,1080.0,1144.0,12.81,37.47709013171109,0.5448619500829909,0.4199383163106206,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.4199383163106206
1006-2-287-1800,1006,BUS015,completed,,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,18:00:00,19:04:00,1080.0,1144.0,12.52,19.043595650189214,0.6838613226173054,0.620382670450008,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.620382670450008
1002-1-287-1815,1002,BUS013,completed,,[KMB] 彩云总站,[KMB] 彩云总站,18:15:00,19:13:00,1095.0,1153.0,16.17,43.7869268885768,0.6427762922998084,0.4968198693378857,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.4968198693378857
1006-1-287-1815,1006,BUS020,completed,,[CTB] 筲箕湾,[KMB+CTB] 美孚巴士总站/ 美孚,18:15:00,19:19:00,1095.0,1159.0,12.81,37.380001674057645,0.6055050450898551,0.480905039509663,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.480905039509663
1006-2-287-1815,1006,BUS004,completed,,[KMB+CTB] 美孚巴士总站/ 美孚,[CTB] 筲箕湾,18:15:00,19:19:00,1095.0,1159.0,12.52,20.005688487381622,0.5113280574899249,0.4446424291986529,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.4446424291986529
1001-2-287-1829,1001,BUS014,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,18:29:00,19:14:00,1109.0,1154.0,8.24,21.682459053808348,0.6362477288050351,0.5639728652923406,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5639728652923406
1001-1-448-1850,1001,BUS001,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),18:50:00,19:35:00,1130.0,1175.0,7.98,17.69623040879055,0.4889906245113873,0.4300031898154188,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.4300031898154188
1001-2-448-1850,1001,BUS007,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,18:50:00,19:35:00,1130.0,1175.0,8.24,23.016004398398746,0.5941013295696393,0.5173813149083102,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5173813149083102
1001-2-287-1859,1001,BUS002,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,18:59:00,19:44:00,1139.0,1184.0,8.24,23.307034890209636,0.7004379452854312,0.6227478289847325,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6227478289847325
1001-1-288-1905,1001,BUS012,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),19:05:00,19:50:00,1145.0,1190.0,7.98,12.474305452823206,0.6592092877002609,0.6176282695241835,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6176282695241835
1001-2-288-1915,1001,BUS003,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,19:15:00,20:00:00,1155.0,1200.0,8.24,16.240650243476487,0.6314253625348504,0.5772898617232621,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5772898617232621
1001-2-287-1935,1001,BUS010,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,19:35:00,20:20:00,1175.0,1220.0,8.24,14.966839600844295,0.6509073707708126,0.6010179054346649,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.6010179054346649
1001-2-448-1950,1001,BUS008,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,19:50:00,20:35:00,1190.0,1235.0,8.24,21.65195459913204,0.6339054490331268,0.5617322670360201,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5617322670360201
1001-1-288-2105,1001,BUS017,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),21:05:00,21:50:00,1265.0,1310.0,7.98,10.722251291376264,0.5636380130707699,0.527897175432849,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.527897175432849
1001-1-448-2110,1001,BUS006,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),21:10:00,21:55:00,1270.0,1315.0,7.98,12.550449114449547,0.5590246239810588,0.5171897935995603,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5171897935995603
1001-2-288-2115,1001,BUS019,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,21:15:00,22:00:00,1275.0,1320.0,8.24,21.53581472716459,0.5994159461504163,0.5276298970598676,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5276298970598676
1001-1-287-2135,1001,BUS011,completed,,[CTB] 竹园邨,[CTB] 尖沙咀 (天星码头),21:35:00,22:20:00,1295.0,1340.0,7.98,10.67749539914827,0.5492308150035033,0.5136391636730091,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5136391636730091
1001-2-448-2205,1001,BUS018,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,22:05:00,22:50:00,1325.0,1370.0,8.24,10.948744279215228,0.5454316648668395,0.5089358506027887,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.5089358506027887
1001-2-288-2215,1001,BUS009,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,22:15:00,23:00:00,1335.0,1380.0,8.24,23.795099207057785,0.5581551506579502,0.4788381533010909,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.4788381533010909
1001-2-287-2225,1001,BUS016,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,22:25:00,23:10:00,1345.0,1390.0,8.24,21.699513265694566,0.5372857829223939,0.4649540720367454,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.4649540720367454
1001-2-288-2245,1001,BUS015,completed,,[CTB] 尖沙咀 (天星码头),[CTB] 竹园邨,22:45:00,23:30:00,1365.0,1410.0,8.24,15.291910412456671,0.620382670450008,0.569409635741819,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.569409635741819
