trip_id,route_id,bus_id,status,miss_reason,origin,destination,trip_start_time,trip_end_time,trip_start_min,trip_end_min,distance_km,predicted_energy_kwh,soc_before_trip,soc_after_trip,charge_requested,station_id,charger_id,charger_type,charging_power_kw,charge_start_time,charge_end_time,charge_start_min,charge_end_min,wait_time_min,charge_duration_min,charged_energy_kwh,charging_cost,currency,soc_after_charge
2003801-1-287-0525,2003801,PLANBUS00322,completed,,坑口站公共运输交汇处,"康强街, 近康强大楼",05:25:00,05:42:00,325.0,342.0,9.18,12.736884514322764,0.869,0.8265437182855908,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8265437182855908
2003801-1-480-0525,2003801,PLANBUS00360,completed,,坑口站公共运输交汇处,"康强街, 近康强大楼",05:25:00,05:42:00,325.0,342.0,9.18,23.15025977665952,0.867,0.7898324674111349,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7898324674111349
2003801-2-287-0525,2003801,PLANBUS00358,completed,,"康强街, 近康强大楼",坑口站公共运输交汇处,05:25:00,05:42:00,325.0,342.0,8.88,12.121348007594989,0.864,0.8235955066413501,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8235955066413501
2003801-2-480-0525,2003801,PLANBUS00340,completed,,"康强街, 近康强大楼",坑口站公共运输交汇处,05:25:00,05:42:00,325.0,342.0,8.88,15.108811173399925,0.862,0.8116372960886669,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8116372960886669
2003801-1-287-0530,2003801,PLANBUS00319,completed,,坑口站公共运输交汇处,"康强街, 近康强大楼",05:30:00,05:47:00,330.0,347.0,9.18,12.873254777193088,0.859,0.8160891507426897,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8160891507426897
2003801-1-480-0530,2003801,PLANBUS00350,completed,,坑口站公共运输交汇处,"康强街, 近康强大楼",05:30:00,05:47:00,330.0,347.0,9.18,11.13307110569163,0.859,0.8218897629810279,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8218897629810279
2003801-2-287-0530,2003801,PLANBUS00338,completed,,"康强街, 近康强大楼",坑口站公共运输交汇处,05:30:00,05:47:00,330.0,347.0,8.88,23.183163117629952,0.858,0.7807227896079001,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7807227896079001
2003801-2-480-0530,2003801,PLANBUS00351,completed,,"康强街, 近康强大楼",坑口站公共运输交汇处,05:30:00,05:47:00,330.0,347.0,8.88,17.91819814809284,0.854,0.7942726728396905,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.7942726728396905
1862-1-287-0530,1862,PLANBUS00002,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:30:00,05:51:00,330.0,351.0,5.11,12.107488138354723,0.88,0.8396417062054843,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8396417062054843
1862-1-288-0530,1862,PLANBUS00029,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:30:00,05:51:00,330.0,351.0,5.11,12.970991204034071,0.879,0.8357633626532197,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8357633626532197
1862-1-448-0530,1862,PLANBUS00045,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:30:00,05:51:00,330.0,351.0,5.11,6.094560567307197,0.876,0.855684798108976,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.855684798108976
1862-1-287-0534,1862,PLANBUS00027,completed,,[CTB] 屯门码头,[LRTFeeder] 兆麟,05:34:00,05:55:00,334.0,355.0,5.11,6.529940702744907,0.875,0.8532335309908503,False,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.8532335309908503
